Nom,Codi,Codi comarca,Nom comarca
Blancafort,430290,16,Conca de Barberà
Blanes,170237,34,Selva
Boadella i les Escaules,170293,2,Alt Empordà
Bolvir,170242,15,Cerdanya
Bonastre,430304,12,Baix Penedès
Bordils,170255,20,Gironès
"Borges Blanques, les",250582,18,Garrigues
"Borges del Camp, les",430311,8,Baix Camp
Borrassà,170268,2,Alt Empordà
Borredà,80240,14,Berguedà
Bossòst,250595,39,Aran
Bot,430326,37,Terra Alta
Botarell,430332,8,Baix Camp
Bovera,250560,18,Garrigues
Breda,170274,34,Selva
"Bruc, el",80253,6,Anoia
"Brull, el",80266,24,Osona
Brunyola,170280,34,Selva
Bràfim,430347,1,Alt Camp
Bàscara,170160,2,Alt Empordà
"Bòrdes, Es",250576,39,Aran
Cabacés,430350,29,Priorat
Cabanabona,250609,23,Noguera
Cabanelles,170314,2,Alt Empordà
Cabanes,170307,2,Alt Empordà
"Cabanyes, les",80272,3,Alt Penedès
Cabra del Camp,430363,1,Alt Camp
Cabrera d'Anoia,80288,6,Anoia
Cabrera de Mar,80291,21,Maresme
Cabrils,80305,21,Maresme
Cabó,250616,4,Alt Urgell
Cadaqués,170329,2,Alt Empordà
Calaf,80312,6,Anoia
Calafell,430379,12,Baix Penedès
Calders,80348,42,Moianès
Caldes d'Estrac,80327,21,Maresme
Caldes de Malavella,170335,34,Selva
Caldes de Montbui,80333,41,Vallès Oriental
Calella,80351,21,Maresme
Calldetenes,80370,24,Osona
Callús,80386,7,Bages
Calonge,170340,10,Baix Empordà
Calonge de Segarra,80364,6,Anoia
Camarasa,250621,23,Noguera
Camarles,439039,9,Baix Ebre
Cambrils,430385,8,Baix Camp
Campdevànol,170366,31,Ripollès
Campelles,170372,31,Ripollès
Campins,80399,41,Vallès Oriental
Campllong,170388,20,Gironès
Camprodon,170391,31,Ripollès
Camós,170353,28,Pla de l'Estany
Canejan,250637,39,Aran
Canet d'Adri,170405,20,Gironès
Canet de Mar,80403,21,Maresme
"Canonja, la",439076,36,Tarragonès
Canovelles,80410,41,Vallès Oriental
Cantallops,170412,2,Alt Empordà
Canyelles,80431,17,Garraf
Capafonts,430398,8,Baix Camp
Capellades,80446,6,Anoia
Capmany,170427,2,Alt Empordà
Capolat,80459,14,Berguedà
Capçanes,430402,29,Priorat
Cardedeu,80462,41,Vallès Oriental
Cardona,80478,7,Bages
Carme,80484,6,Anoia
Caseres,430419,37,Terra Alta
Casserres,80497,14,Berguedà
Cassà de la Selva,170448,20,Gironès
Castell de Mur,259046,25,Pallars Jussà
Castell de l'Areny,80575,14,Berguedà
Castell-Platja d'Aro,170486,10,Baix Empordà
Castellar de la Ribera,250642,35,Solsonès
Castellar de n'Hug,80522,14,Berguedà
Castellar del Riu,80500,14,Berguedà
Castellar del Vallès,80517,40,Vallès Occidental
Castellbell i el Vilar,80538,7,Bages
Castellbisbal,80543,40,Vallès Occidental
Castellcir,80556,42,Moianès
Castelldans,250674,18,Garrigues
Castelldefels,80569,11,Baix Llobregat
Castellet i la Gornal,80581,3,Alt Penedès
Castellfollit de Riubregós,80608,6,Anoia
Castellfollit de la Roca,170464,19,Garrotxa
Castellfollit del Boix,80594,7,Bages
Castellgalí,80615,7,Bages
Castellnou de Bages,80620,7,Bages
Castellnou de Seana,250680,27,Pla d'Urgell
Castellolí,80636,6,Anoia
Castellserà,250707,38,Urgell
Castellterçol,80641,42,Moianès
Castellvell del Camp,430424,8,Baix Camp
Castellví de Rosanes,80667,11,Baix Llobregat
Castellví de la Marca,80654,3,Alt Penedès
Castelló d'Empúries,170470,2,Alt Empordà
Castelló de Farfanya,250693,23,Noguera
"Catllar, el",430430,36,Tarragonès
Cava,250714,4,Alt Urgell
"Cellera de Ter, la",171899,34,Selva
Celrà,170499,20,Gironès
Centelles,80673,24,Osona
Cercs,82687,14,Berguedà
Cerdanyola del Vallès,82665,40,Vallès Occidental
Cervelló,80689,11,Baix Llobregat
Cervera,250729,32,Segarra
Cervià de Ter,170502,20,Gironès
Cervià de les Garrigues,250735,18,Garrigues
Cistella,170519,2,Alt Empordà
Ciutadilla,250740,38,Urgell
Clariana de Cardener,250753,35,Solsonès
"Cogul, el",250766,18,Garrigues
Colera,170545,2,Alt Empordà
Coll de Nargó,250772,4,Alt Urgell
Collbató,80692,11,Baix Llobregat
Colldejou,430458,8,Baix Camp
Collsuspina,80706,42,Moianès
Colomers,170558,10,Baix Empordà
"Coma i la Pedra, la",251636,35,Solsonès
Conca de Dalt,251615,25,Pallars Jussà
Conesa,430461,16,Conca de Barberà
Constantí,430477,36,Tarragonès
Copons,80713,6,Anoia
Corbera d'Ebre,430483,37,Terra Alta
Corbera de Llobregat,80728,11,Baix Llobregat
Corbins,250788,33,Segrià
Cornellà de Llobregat,80734,11,Baix Llobregat
Cornellà del Terri,170561,28,Pla de l'Estany
Cornudella de Montsant,430496,29,Priorat
Corçà,170577,10,Baix Empordà
Creixell,430509,36,Tarragonès
Crespià,170583,28,Pla de l'Estany
"Cruïlles, Monells i Sant Sadurní de l'Heura",179011,10,Baix Empordà
Cubelles,80749,17,Garraf
Cubells,250791,23,Noguera
Cunit,430516,12,Baix Penedès
Cànoves i Samalús,80425,41,Vallès Oriental
Darnius,170600,2,Alt Empordà
Das,170617,15,Cerdanya
Deltebre,439018,9,Baix Ebre
Dosrius,80752,21,Maresme
Duesaigües,430537,8,Baix Camp
"Escala, l'",170622,2,Alt Empordà
Esparreguera,80765,11,Baix Llobregat
Espinelves,170638,24,Osona
"Espluga Calba, l'",250812,18,Garrigues
"Espluga de Francolí, l'",430542,16,Conca de Barberà
Esplugues de Llobregat,80771,11,Baix Llobregat
Espolla,170643,2,Alt Empordà
Esponellà,170656,28,Pla de l'Estany
Espot,250827,26,Pallars Sobirà
"Espunyola, l'",80787,14,Berguedà
"Esquirol, l'",82541,24,Osona
Estamariu,250886,4,Alt Urgell
"Estany, l'",80790,42,Moianès
Estaràs,250851,32,Segarra
Esterri d'Àneu,250864,26,Pallars Sobirà
Esterri de Cardós,250870,26,Pallars Sobirà
Falset,430555,29,Priorat
"Far d'Empordà, el",170059,2,Alt Empordà
Farrera,250899,26,Pallars Sobirà
"Fatarella, la",430568,37,Terra Alta
"Febró, la",430574,8,Baix Camp
Figaró-Montmany,81347,41,Vallès Oriental
"Figuera, la",430580,29,Priorat
Figueres,170669,2,Alt Empordà
Figuerola del Camp,430593,1,Alt Camp
Flaçà,170675,20,Gironès
Flix,430607,30,Ribera d'Ebre
"Floresta, la",250925,18,Garrigues
Fogars de Montclús,80811,41,Vallès Oriental
Fogars de la Selva,80826,34,Selva
Foixà,170681,10,Baix Empordà
Folgueroles,80832,24,Osona
Fondarella,250931,27,Pla d'Urgell
Fonollosa,80847,7,Bages
Font-rubí,80850,3,Alt Penedès
Fontanals de Cerdanya,170694,15,Cerdanya
Fontanilles,170708,10,Baix Empordà
Fontcoberta,170715,28,Pla de l'Estany
Foradada,250946,23,Noguera
Forallac,179026,10,Baix Empordà
Fornells de la Selva,170736,20,Gironès
Fortià,170741,2,Alt Empordà
Forès,430614,16,Conca de Barberà
"Franqueses del Vallès, les",80863,41,Vallès Oriental
Freginals,430629,22,Montsià
"Fuliola, la",250962,38,Urgell
Fulleda,250978,18,Garrigues
Fígols,80804,14,Berguedà
Fígols i Alinyà,259084,4,Alt Urgell
Gaià,80902,7,Bages
"Galera, la",430635,22,Montsià
Gallifa,80879,40,Vallès Occidental
Gandesa,430640,37,Terra Alta
Garcia,430653,30,Ribera d'Ebre
"Garidells, els",430666,1,Alt Camp
"Garriga, la",80885,41,Vallès Oriental
Garrigoles,170767,10,Baix Empordà
Garriguella,170773,2,Alt Empordà
Garrigàs,170754,2,Alt Empordà
Gavet de la Conca,250984,25,Pallars Jussà
Gavà,80898,11,Baix Llobregat
Gelida,80919,3,Alt Penedès
Ger,170789,15,Cerdanya
Gimenells i el Pla de la Font,259123,33,Segrià
Ginestar,430672,30,Ribera d'Ebre
Girona,170792,20,Gironès
Gironella,80924,14,Berguedà
Gisclareny,80930,14,Berguedà
Godall,430688,22,Montsià
Golmés,250997,27,Pla d'Urgell
Gombrèn,170806,31,Ripollès
"Granada, la",80945,3,Alt Penedès
"Granadella, la",251018,18,Garrigues
Granera,80958,42,Moianès
"Granja d'Escarp, la",251023,33,Segrià
Granollers,80961,41,Vallès Oriental
Granyanella,251039,32,Segarra
Granyena de Segarra,251044,32,Segarra
Granyena de les Garrigues,251057,18,Garrigues
Gratallops,430691,29,Priorat
Gualba,80977,41,Vallès Oriental
Gualta,170813,10,Baix Empordà
Guardiola de Berguedà,80996,14,Berguedà
"Guiamets, els",430705,29,Priorat
Guils de Cerdanya,170828,15,Cerdanya
Guimerà,251095,38,Urgell
"Guingueta d'Àneu, la",259031,26,Pallars Sobirà
Guissona,251109,32,Segarra
Guixers,251116,35,Solsonès
Gurb,81000,24,Osona
Gósol,251001,14,Berguedà
Horta de Sant Joan,430712,37,Terra Alta
"Hospitalet de Llobregat, l'",81017,13,Barcelonès
"Hostalets de Pierola, els",81629,6,Anoia
Hostalric,170834,34,Selva
Igualada,81022,6,Anoia
Isona i Conca Dellà,251155,25,Pallars Jussà
Isòvol,170849,15,Cerdanya
Ivars d'Urgell,251137,27,Pla d'Urgell
Ivars de Noguera,251121,23,Noguera
Ivorra,251142,32,Segarra
Jafre,170852,10,Baix Empordà
"Jonquera, la",170865,2,Alt Empordà
Jorba,81038,6,Anoia
Josa i Tuixén,259101,4,Alt Urgell
Juià,170871,20,Gironès
Juncosa,251180,18,Garrigues
Juneda,251193,18,Garrigues
Les,251214,39,Aran
Linyola,251229,27,Pla d'Urgell
"Llacuna, la",81043,6,Anoia
Lladorre,251235,26,Pallars Sobirà
Lladurs,251240,35,Solsonès
Lladó,170887,2,Alt Empordà
"Llagosta, la",81056,41,Vallès Oriental
Llagostera,170890,20,Gironès
Llambilles,170904,20,Gironès
Llanars,170911,31,Ripollès
Llançà,170926,2,Alt Empordà
Llardecans,251253,33,Segrià
Llavorsí,251266,26,Pallars Sobirà
Lleida,251207,33,Segrià
Llers,170932,2,Alt Empordà
Lles de Cerdanya,251272,15,Cerdanya
Llimiana,251288,25,Pallars Jussà
Llinars del Vallès,81069,41,Vallès Oriental
Lliçà d'Amunt,81075,41,Vallès Oriental
Lliçà de Vall,81081,41,Vallès Oriental
"Lloar, el",430727,29,Priorat
Llobera,251291,35,Solsonès
Llorac,430733,16,Conca de Barberà
Llorenç del Penedès,430748,12,Baix Penedès
Lloret de Mar,170950,34,Selva
"Llosses, les",170963,31,Ripollès
Lluçà,81094,24,Osona
Llívia,170947,15,Cerdanya
Madremanya,170979,20,Gironès
Maials,251333,33,Segrià
Maià de Montcal,170985,19,Garrotxa
Maldà,251305,38,Urgell
Malgrat de Mar,81108,21,Maresme
Malla,81115,24,Osona
Manlleu,81120,24,Osona
